Timestamp,ADS1115 (0x48) A0,ADS1115 (0x48) A1,ADS1115 (0x48) A3,ADS1115 (0x49) A0,ADS1115 (0x49) A1,Label
1717611985,12422,13141,13424,13029,13408,A
1717611987,12416,13045,13305,12955,12899,A
1717611990,12503,13033,13305,12999,13513,A
1717611991,12504,13020,13311,12984,12907,A
1717611993,12477,13007,13315,12990,12750,A
1717611995,12512,12993,13280,12977,12830,A
1717611997,12505,12990,13240,12968,13186,A
1717611999,12507,13001,13247,12962,13026,A
1717612001,12514,12998,13245,12951,13001,A
1717612003,12518,12993,13237,12953,13005,A
1717612005,12512,12981,13230,12946,13002,A
1717612007,12512,12977,13225,12942,12998,A
1717612009,12510,12974,13215,12944,12995,A
1717612012,12509,12972,13218,12940,12993,A
1717612014,12495,12966,13203,12935,12987,A
1717612016,12395,12892,13196,12919,12924,A
1717612018,12507,12878,13170,12930,12997,A
1717612020,12483,12915,13308,12963,13076,A
1717612022,12472,12879,13262,12946,12927,A
1717612024,12471,12905,13251,12921,12882,A
1717612026,12469,12902,13146,12917,13084,A
1717612028,12460,12883,13108,12910,13149,A
1717612030,12516,12905,13198,12909,12846,A
1717612032,12470,12922,13127,12905,13176,A
1717612034,12499,12920,13194,12915,12851,A
1717612036,12497,12896,13121,12886,13086,A
1717612038,12469,12895,13153,12870,13091,A
1717612040,12461,12936,13167,12898,12916,A
1717612042,12462,13026,13178,12909,12882,A
1717612044,12477,13016,13208,12895,12864,A
1717612046,12465,13008,13192,12915,12813,A
1717612048,12466,13017,13318,12905,12892,A
1717612050,12491,13008,13306,12913,12890,A
1717612052,12521,13016,13254,12911,12866,A
1717612054,12457,13005,13059,12885,13190,A
1717612056,12444,12993,13110,12883,13095,A
1717612058,12494,12992,13247,12905,12797,A
1717612060,12550,13029,13181,12887,12936,A
1717612062,12572,13013,13140,12872,12985,A
1717612064,12528,12999,13321,12932,13032,A
1717612066,12521,12994,13327,12914,12975,A
1717612068,12528,12996,13325,12910,12969,A
1717612070,12525,12996,13301,12909,12967,A
1717612072,12524,12996,13020,12904,12989,A
1717612074,12523,12995,13104,12905,12967,A
1717612076,12521,12995,13224,12903,12961,A
1717612078,12516,12980,13052,12901,12978,A
1717612080,12520,12996,13131,12898,12970,A
1717612082,12509,13007,13013,12899,13034,A
1717612084,12512,13006,13239,12904,12978,A
1717612086,12511,13006,13178,12898,12997,A
1717612088,12511,13005,13288,12899,12966,A
1717612090,12507,13006,13006,12893,13006,A
1717612093,12501,13006,13237,12893,12943,A
1717612094,12494,13006,13027,12903,13051,A
1717612096,12493,13003,13183,12896,13024,A
1717612098,12494,13004,13003,12895,13007,A
1717612100,12493,13003,13275,12894,13000,A
1717612102,12492,13004,13030,12893,12995,A
1717612105,12492,13005,13133,12890,12992,A
1717612106,12491,13006,13014,12892,12991,A
1717612108,12492,13006,13204,12889,12989,A
1717612110,12491,13006,13059,12890,12986,A
1717612112,12491,13007,13231,12888,12988,A
1717612114,12492,13006,13243,12888,12986,A
1717612116,12492,13006,13285,12890,12984,A
1717612118,12490,13006,13260,12890,12982,A
1717612120,12474,13006,13123,12887,12984,A
1717612122,12491,13006,13088,12887,12984,A
1717612124,12495,12998,13054,12911,13033,A
1717612126,12492,12996,13202,12899,13008,A
1717612128,12502,12995,13098,12896,13003,A
1717612130,12499,13001,13296,12887,12994,A
1717612132,12497,12997,13176,12889,13000,A
1717612134,12498,12997,13114,12888,13000,A
1717612136,12497,12997,13094,12886,12986,A
1717612138,12497,12997,13071,12884,12999,A
1717612140,12497,12997,13035,12883,12981,A
1717612142,12496,12997,13007,12883,12979,A
1717612144,12496,12996,13267,12884,12959,A
1717612146,12495,12997,13197,12882,12966,A
1717612148,12494,12997,13160,12884,12960,A
1717612150,12494,12996,13214,12882,12958,A
1717612152,12494,12996,13267,12886,12949,A
1717612154,12493,12996,13099,12880,12990,A
1717612156,12493,12995,13125,12880,12968,A
1717612158,12493,12996,13048,12879,12981,A
1717612160,12492,12996,13148,12881,12965,A
1717612162,12491,12995,13030,12879,12973,A
1717612164,12491,12994,13087,12879,12968,A
1717612166,12490,12996,12992,12878,12976,A
1717612168,12470,12997,13044,12882,13026,A
1717612170,12466,12992,13072,12887,13013,A
1717612172,12466,12990,13124,12884,12979,A
1717612174,12466,12991,12999,12885,13032,A
1717612176,12468,12990,13056,12883,12981,A
1717612178,12494,12985,13000,12882,12987,A
1717612180,12550,13002,12994,12882,12984,A
1717612182,12534,12996,13048,12880,13009,A
1717612184,12531,12995,13048,12880,13002,A
1717612186,12472,12808,12773,12602,12882,A
1717612188,12521,13095,13360,12920,12991,A
1717612190,12521,13099,13381,12950,12903,A
1717612192,12518,13088,13249,12932,12995,A
1717612194,12515,13086,13286,12942,12902,A
1717612196,12514,13082,13170,12917,13014,A
1717612198,12486,13087,13201,12908,12941,A
1717612200,12517,13115,13242,12904,12937,A
1717612202,12515,13110,13197,12899,13062,A
1717612204,12520,13108,13223,12904,12913,A
1717612207,12517,13103,13113,12896,13222,A
1717612208,12516,13101,13176,12894,13023,A
1717612210,12515,13099,13205,12898,12899,A
1717612212,12514,13097,13080,12896,13166,A
1717612214,12511,13096,13154,12894,12977,A
1717612216,12507,13094,13191,12897,12735,A
1717612218,12512,13093,13070,12893,13519,A
1717612220,12512,13093,13182,12897,12660,A
1717612222,12512,13093,13154,12881,13132,A
1717612224,12511,13093,13138,12877,13487,A
1717612226,12510,13092,13142,12884,13449,A
1717612228,12511,13092,13189,12893,12971,A
1717612231,12508,13089,13187,12891,12962,A
1717612233,12511,13086,13260,12890,12950,A
1717612235,12507,13073,13151,12904,13003,A
1717612237,12505,13074,13172,12897,12988,A
1717612242,12506,13073,13105,12895,12997,A
1717612242,12505,13072,13117,12895,12968,A
1717612244,12505,13072,13308,12889,12957,A
1717612246,12505,13071,13031,12893,13007,A
1717612248,12506,13079,13109,12892,12994,A
1717612251,12503,13075,13354,12895,12991,A
1717612253,12493,13073,13079,12924,12991,A
1717612254,12482,13071,13332,12931,13003,A
1717612256,12510,13064,13244,12926,13038,A
1717612258,12505,13062,13458,12920,13017,A
1717612260,12497,13059,13204,12908,13234,A
1717612262,12495,13054,13196,12905,13267,A
1717612264,12494,13051,13372,12907,12985,A
1717612266,12493,13049,13392,12904,12964,A
1717612268,12491,13046,13365,12904,12938,A
1717612270,12485,13044,12991,12903,13021,A
1717612272,12485,13043,13040,12900,13046,A
1717612274,12485,13042,13184,12898,12906,A
1717612276,12486,13042,13028,12896,13063,A
1717612278,12496,13041,13195,12897,12894,A
1717612280,12496,13043,13195,12899,12919,A
1717612282,12513,13045,13012,12892,13080,A
1717612284,12525,13047,13098,12899,12984,A
1717612286,12526,13064,13278,12896,12823,A
1717612288,12507,13051,13205,12887,12916,A
1717612290,12513,13049,13254,12887,12705,A
1717612292,12505,13047,13192,12887,12757,A
1717612294,12521,13047,13232,12889,12738,A
1717612296,12516,13048,13106,12891,13374,A
1717612298,12518,13045,13106,12890,13352,A
1717612300,12511,13046,13177,12889,12731,
1717612741,12372,12371,12521,12424,13084,
1717612743,12645,12364,12538,12425,12863,
1717612745,12644,12365,12537,12428,12125,B
1717612747,12632,12362,12540,12429,12004,B
1717612749,12627,12362,12538,12430,12090,B
1717612751,12618,12362,12538,12429,11965,B
1717612753,12610,12362,12536,12428,12908,B
1717612756,12606,12363,12537,12430,11898,B
1717612757,12602,12363,12535,12426,12166,B
1717612759,12603,12362,12538,12430,12574,B
1717612761,12602,12360,12539,12429,12437,B
1717612763,12598,12360,12537,12431,11911,B
1717612765,12594,12360,12534,12431,12144,B
1717612767,12593,12360,12535,12428,12752,B
1717612769,12592,12360,12534,12430,12022,B
1717612771,12592,12362,12534,12429,12934,B
1717612774,12593,12361,12534,12430,11957,B
1717612776,12591,12362,12534,12428,12947,B
1717612778,12591,12361,12534,12429,12850,B
1717612779,12590,12358,12536,12428,12197,B
1717612783,12589,12361,12537,12430,12818,B
1717612788,12590,12359,12535,12431,11842,B
1717612788,12590,12360,12535,12431,12271,B
1717612790,12591,12360,12535,12429,12929,B
1717612792,12590,12357,12542,12433,12621,B
1717612794,12588,12353,12544,12434,12122,B
1717612796,12588,12353,12539,12431,12922,B
1717612798,12585,12353,12537,12430,12821,B
1717612800,12586,12354,12536,12430,12954,B
1717612802,12586,12354,12535,12429,12758,B
1717612806,12585,12353,12535,12432,11920,B
1717612807,12584,12354,12534,12430,12983,B
1717612809,12582,12354,12533,12430,12972,B
1717612814,12584,12355,12533,12428,12260,B
1717612815,12585,12363,12541,12435,11995,B
1717612816,12583,12354,12537,12436,12923,B
1717612818,12575,12353,12532,12434,11947,B
1717612820,12571,12347,12531,12434,12218,B
1717612822,12560,12354,12530,12433,12382,B
1717612824,12566,12355,12529,12432,12926,B
1717612826,12572,12354,12529,12429,12466,B
1717612828,12572,12355,12528,12429,12745,B
1717612830,12490,12361,12530,12430,12865,B
1717612832,12608,12358,12530,12432,11910,B
1717612834,12592,12356,12530,12434,11914,B
1717612836,12585,12359,12529,12428,12356,B
1717612838,12581,12357,12531,12432,11898,B
1717612840,12584,12356,12531,12432,11923,B
1717612842,12583,12356,12531,12430,12076,B
1717612844,12582,12357,12531,12432,11902,B
1717612846,12582,12356,12531,12431,12253,B
1717612848,12578,12357,12530,12429,12547,B
1717612850,12560,12356,12530,12431,12797,B
1717612852,12530,12356,12529,12429,12332,B
1717612854,12580,12358,12531,12434,11977,B
1717612856,12569,12359,12530,12428,12501,B
1717612858,12565,12358,12531,12431,12568,B
1717612860,12559,12358,12531,12431,12383,B
1717612862,12560,12358,12530,12432,11934,B
1717612865,12559,12358,12529,12428,12390,B
1717612866,12563,12358,12531,12432,11910,B
1717612868,12561,12357,12531,12431,12791,B
1717612871,12560,12357,12530,12428,12778,B
1717612872,12563,12358,12530,12428,12728,B
1717612874,12563,12361,12531,12429,12870,B
1717612876,12564,12362,12531,12430,12906,B
1717612878,12564,12359,12531,12431,11969,B
1717612880,12560,12359,12530,12429,12368,B
1717612883,12562,12357,12531,12431,12963,B
1717612886,12564,12356,12532,12431,12853,B
1717612895,12559,12357,12531,12429,12831,B
1717612900,12562,12358,12531,12428,12525,B
1717612900,12562,12358,12530,12432,12346,B
1717612902,12561,12357,12530,12430,12134,B
1717612904,12562,12357,12530,12428,12193,B
1717612906,12561,12357,12529,12431,12595,B
1717612908,12554,12357,12530,12429,12906,B
1717612911,12557,12358,12529,12428,12230,B
1717612912,12551,12357,12530,12433,12240,B
1717612914,12551,12359,12529,12429,12644,B
1717612916,12560,12358,12529,12431,12019,B
1717612918,12552,12359,12529,12429,12808,B
1717612920,12546,12354,12529,12431,12984,B
1717612923,12551,12356,12528,12431,12953,B
1717612924,12549,12356,12529,12433,11963,B
1717612926,12571,12356,12530,12431,12924,B
1717612928,12560,12355,12529,12434,12239,B
1717612931,12556,12356,12529,12430,12543,B
1717612932,12556,12355,12528,12434,11915,B
1717612935,12555,12356,12528,12429,12740,B
1717612936,12554,12356,12528,12430,12888,B
1717612939,12553,12355,12529,12434,11917,B
1717612941,12553,12356,12528,12429,12253,B
1717612943,12553,12355,12529,12432,12097,B
1717612945,12553,12356,12529,12431,12738,B
1717612947,12551,12356,12529,12392,12471,B
1717612949,12552,12356,12528,12432,12380,B
1717612951,12550,12353,12528,12431,12380,B
1717612953,12549,12355,12528,12430,12380,B
1717612955,12542,12356,12528,12431,12381,B
1717612957,12549,12356,12528,12430,12381,B
1717612960,12549,12355,12528,12431,12381,B
1717612961,12548,12356,12528,12430,12381,B
1717612963,12548,12356,12528,12430,12381,B
1717612966,12548,12356,12528,12431,12381,B
1717612967,12549,12356,12527,12431,12381,B
1717612969,12548,12356,12528,12431,12381,B
1717612971,12548,12356,12528,12431,12380,B
1717612973,12547,12356,12528,12431,12380,B
1717612975,12547,12356,12528,12431,12381,B
1717612977,12546,12356,12528,12431,12381,B
1717612979,12546,12356,12528,12431,12381,B
1717612981,12546,12356,12528,12431,12381,B
1717612983,12546,12356,12528,12431,12381,B
1717612985,12544,12356,12528,12430,12381,B
1717612987,12544,12356,12528,12431,12381,B
1717612990,12543,12355,12528,12430,12381,B
1717612991,12544,12356,12528,12431,12380,B
1717612993,12538,12356,12528,12431,12381,B
1717613018,12541,12357,12528,12431,12381,B
1717613020,12542,12357,12528,12431,12382,B
1717613022,12541,12357,12528,12431,12382,B
1717613026,12545,12354,12524,12432,12382,B
1717613027,12546,12354,12514,12431,12381,B
1717613028,12541,12355,12528,12430,12381,B
1717613030,12545,12355,12528,12431,12381,B
1717613032,12544,12355,12528,12431,12382,B
1717613034,12543,12356,12528,12431,12382,B
1717613036,12543,12356,12528,12431,12382,B
1717613038,12543,12356,12528,12431,12381,B
1717613058,12536,12356,12528,12431,12382,B
1717613062,12541,12350,12527,12430,12382,B
1717613063,12541,12356,12527,12431,12381,B
1717613065,12540,12356,12527,12430,12381,B
1717613067,12540,12356,12528,12430,12382,B
1717613069,12540,12356,12527,12431,12382,B
1717613071,12540,12356,12528,12431,12382,B
1717613073,12538,12356,12528,12430,12383,B
1717613075,12539,12356,12528,12431,12383,B
1717613077,12539,12356,12528,12431,12382,B
1717613079,12539,12356,12528,12431,12382,B
1717613081,12537,12357,12528,12431,12383,B
1717613130,12442,12375,12552,12441,12397,B
1717613132,12556,12369,12545,12441,12393,B
1717613137,12549,12369,12544,12441,12339,B
1717613137,12549,12369,12544,12441,12393,B
1717613144,12540,12369,12543,12440,12391,B
1717613144,12540,12369,12542,12441,12392,B
1717613146,12539,12369,12543,12440,12392,B
1717613153,12536,12368,12543,12439,12390,B
1717613153,12537,12368,12542,12440,12391,B
1717613155,12538,12368,12537,12440,12390,B
1717613157,12537,12368,12542,12440,12390,B
1717613159,12537,12368,12542,12440,12390,B
1717613161,12536,12368,12542,12440,12389,B
1717613163,12536,12368,12542,12439,12389,B
1717613165,12536,12368,12539,12439,12390,B
1717613167,12535,12367,12541,12439,12390,B
1717613170,12535,12368,12541,12439,12389,B
1717613171,12534,12368,12541,12439,12389,B
1717613174,12533,12369,12541,12439,12388,B
1717613175,12533,12368,12541,12439,12389,B
1717613177,12534,12368,12540,12439,12388,B
1717613179,12529,12368,12541,12438,12388,B
1717613181,12531,12368,12540,12440,12388,B
1717613183,12529,12368,12540,12439,12388,B
1717613185,12531,12368,12540,12439,12387,B
1717613187,12529,12365,12541,12439,12388,B
1717613189,12528,12369,12540,12439,12387,B
1717613191,12529,12369,12540,12439,12387,B
1717613193,12530,12369,12541,12438,12387,B
1717613195,12529,12368,12540,12438,12387,B
1717613197,12529,12369,12540,12438,12387,B
1717613199,12528,12368,12540,12439,12387,B
1717613201,12529,12369,12540,12438,12387,B
1717613204,12528,12369,12540,12438,12387,B
1717613206,12528,12368,12540,12438,12387,B
1717613208,12528,12368,12540,12438,12386,B
1717613210,12528,12368,12540,12439,12386,B
1717613212,12529,12368,12540,12438,12386,B
1717613214,12529,12369,12539,12439,12386,B
1717613216,12529,12368,12540,12438,12386,B
1717613218,12535,12363,12549,12439,12395,B
1717613220,12531,12362,12545,12438,12394,B
1717613222,12531,12362,12544,12438,12393,B
1717613224,12529,12361,12544,12438,12392,B
1717613226,12530,12361,12544,12438,12391,B
1717613229,12530,12360,12544,12439,12391,B
1717613230,12529,12359,12544,12439,12392,B
1717613232,12521,12360,12543,12438,12391,B
1717613235,12528,12360,12542,12439,12391,
1717613236,12529,12360,12542,12436,12391,
1717613238,12529,12359,12542,12438,12390,
1717613241,12527,12359,12541,12439,12390,
1717613242,12528,12360,12542,12438,12390,
1717613244,12528,12358,12540,12438,12388,
1717613246,12528,12358,12540,12438,12388,
1717613248,12527,12358,12539,12437,12387,
1717613250,12527,12359,12538,12437,12386,
1717613541,12561,12787,13041,12732,12788,
1717613554,12560,12786,13027,12728,12771,
1717613556,12560,12786,13016,12727,12767,C
1717613557,12559,12785,13014,12730,12798,C
1717613559,12515,12762,13067,12757,12860,C
1717613561,12541,12993,13041,12736,12806,C
1717613563,12544,12982,13035,12733,12794,C
1717613570,12572,12968,13031,12745,12901,C
